auteur_joconde,qid_wikidata,label_wikidata,naissance,deces,trouve
Millet Jean-François (1814-1875),Q148458,Jean-François Millet,1814.0,1875.0,True
Brivet (18..-18..?),,,,,False
Carriès Jean (1855-1894),,,1855.0,1894.0,False
Girodet Anne-Louis (1767-1824),Q433434,Anne-Louis Girodet,1767.0,1824.0,True
JORON Maurice (peintre),Q16222632,Maurice Joron,1883.0,,True
Champaigne Philippe de (1602-1674),Q314814,Philippe de Champaigne,1602.0,1674.0,True
Houdon Jean-Antoine (1741-1828),Q318741,Jean-Antoine Houdon,1741.0,1828.0,True
Boisselier Félix (1776-1811),Q3092383,Félix Boisselier,1776.0,1811.0,True
WIESEN Theo (dit);WIESEN Theodor (patronyme),Q24205968,Theo Wiesen,1906.0,,True
Géricault Théodore (1791-1824),Q184212,Théodore Géricault,1791.0,1824.0,True
Marquet Albert (1875-1947),Q267858,Albert Marquet,1875.0,1947.0,True
Degas Edgar (1834-1917);HEBRARD A A (fondeur),Q46373,Edgar Degas,1834.0,1917.0,True
