artiste,mouvement
Jean Pillement,rococo
Alfred Chanut,académisme
Georges Rouault,expressionnisme
Georges Rouault,symbolisme
Georges Rouault,fauvisme
Sophie Taeuber-Arp,Dada
Sophie Taeuber-Arp,constructivisme
Théodore Géricault,romantisme
Albert André,postimpressionnisme
Bernard Buffet,expressionnisme
Jean-Paul Laurens,académisme
Gustave Guillaumet,orientalisme
Maurice Utrillo,École de Paris
Charles Dufresne,orientalisme
Charles Dufresne,cubisme
Charles Dufresne,fauvisme
Pierre Soulages,art abstrait
Pierre Soulages,École de Paris
Pierre Soulages,art informel
Suzanne Valadon,symbolisme
Suzanne Valadon,postimpressionnisme
Nicolas de Largillierre,baroque
Jean-Baptiste Pigalle,baroque
Jean-Baptiste Pigalle,néo-classicisme
Nicolas Coustou,baroque
Félix Ziem,École de Barbizon
André Beaudin,École de Paris
Karel Appel,expressionnisme abstrait
Karel Appel,CoBrA
Charlotte Posenenske,minimalisme
Fernand Piet,postimpressionnisme
Henry Scheffer,romantisme
Giovanni Balducci,maniérisme
Jacques Stella,classicisme
Gérard Dou,âge d'or de la peinture néerlandaise
Gérard Dou,Fijnschilders
Henri Rousseau,postimpressionnisme
Henri Rousseau,art naïf
Henri Rousseau,primitivisme
Ben,Fluxus
Ben,art postal
Tamara de Lempicka,Art déco
Ludovic Alleaume,académisme
Jean Arp,surréalisme
Jean Arp,Dada
Jean Arp,De Stijl
Othon Friesz,postimpressionnisme
Othon Friesz,fauvisme
Gaston de La Touche,naturalisme
Paul Huet,romantisme
Charles-François Daubigny,École de Barbizon
Maxime Maufra,École de Pont-Aven
Robert Delaunay,Simultanéisme
Robert Delaunay,néo-impressionnisme
Robert Delaunay,Orphisme
Silvano Lora,Nouveau réalisme
Silvano Lora,Arte Povera
Ernest Meissonier,académisme
Paul-Émile Colin,École de Pont-Aven
André Jolly,postimpressionnisme
Brion Gysin,Beat Generation
Alfred Dehodencq,orientalisme
Gabriel Ferrier,orientalisme
Georges de La Tour,baroque
Jan Miel,peinture baroque flamande
Jan Miel,Bamboccianti
Willem Kalf,âge d'or de la peinture néerlandaise
Jean-Baptiste-Ange Tissier,romantisme
Charles Le Brun,baroque
Charles Le Brun,classicisme
Alexandre Antigna,réalisme
Bernard Buffet,expressionnisme
Othon Friesz,postimpressionnisme
Othon Friesz,fauvisme
Alexandre Defaux,École de Pont-Aven
Georges Breuil,art abstrait
Léon Zack,École de Paris
Isidore Pils,orientalisme
Paul Gauguin,impressionnisme
Paul Gauguin,symbolisme
Paul Gauguin,postimpressionnisme
Paul Gauguin,École de Pont-Aven
Paul Gauguin,cloisonnisme
Paul Gauguin,synthétisme
Paul Gauguin,primitivisme
Denis Foyatier,néo-classicisme
Antoine-Jean Gros,néo-classicisme
Antoine-Jean Gros,préromantisme
Francis Tattegrain,naturalisme
Louis Abel-Truchet,Belle Époque
Maurice Utrillo,École de Paris
Fernand Cormon,académisme
Per Kirkeby,néo-expressionnisme
Stefano Della Bella,baroque
Q3309511,classicisme
Adélaïde Labille-Guiard,rococo
Ferdinand Roybet,orientalisme
Constant Troyon,École de Barbizon
Marcel Baschet,académisme
Gabriel Revel,classicisme
Jules Chéret,Art nouveau
Valerio Adami,pop art
Joseph Delattre,impressionnisme
Armand Bernard,académisme
Georges Maroniez,École de Wissant
Georges Maroniez,réalisme
Alessandro Magnasco,baroque
Raphaël,Haute Renaissance
Raphaël,Renaissance italienne
Raymond Hains,Nouveau réalisme
Hyacinthe Rigaud,baroque
Hyacinthe Rigaud,peinture baroque
Paul Rebeyrolle,expressionnisme
Paul Rebeyrolle,matiérisme
Paul Rebeyrolle,Nouvelle figuration
Étienne Hajdu,École européenne
Henry Moret,École de Pont-Aven
Henry Moret,impressionnisme
Achille Devéria,romantisme
Jean-Charles Cazin,naturalisme
François Bonvin,réalisme
Émile Schuffenecker,École de Pont-Aven
Maurice Asselin,École de Paris
Francesco Guardi,rococo
Émile Dezaunay,École de Pont-Aven
Auguste Clésinger,romantisme
Camille Hilaire,Post-cubisme
Stefano Della Bella,baroque
François-Louis Français,École de Barbizon
Jean-Honoré Fragonard,rococo
Alphonse de Neuville,académisme
Hyacinthe Rigaud,baroque
Hyacinthe Rigaud,peinture baroque
Jean-Baptiste Santerre,classicisme
Gabriel Metsu,baroque
Gérard de Lairesse,baroque
Albert Cuyp,âge d'or de la peinture néerlandaise
Pierre Mignard,classicisme
Pierre Mignard,peinture baroque
Lavinia Fontana,maniérisme
Jules Cavaillès,Peintres de la réalité poétique
Antoine Guillemet,réalisme
Edmond Aman-Jean,symbolisme
Jean Metzinger,cubisme de salon
Jean Metzinger,cubisme
Félix Trutat,réalisme
Charles Lapicque,École de Paris
Hervé Di Rosa,Figuration libre
Hans Memling,Primitifs flamands
Guillaume Fouace,réalisme
Auguste Rodin,art moderne
Auguste Rodin,symbolisme
Auguste Rodin,art moderne
Auguste Rodin,symbolisme
Constant Troyon,École de Barbizon
Antoine Chintreuil,réalisme
Henri Le Sidaner,symbolisme
Henri Le Sidaner,Colonie artistique d'Étaples
Arman,Nouveau réalisme
Jean-Paul Laurens,académisme
Yves Klein,Nouveau réalisme
Q157321,Dada
Q157321,surréalisme
Q157321,cubisme
Q325079,pop art
Victor Prouvé,École de Nancy
Sigmar Polke,pop art
Jules Salles,Félibrige
Amélie Beaury-Saurel,académisme
Philippe de Champaigne,classicisme
Philippe de Champaigne,peinture baroque
Charles Le Brun,baroque
Charles Le Brun,classicisme
Léopold Robert,romantisme
Nicolas Tournier,caravagisme
Cornelis Huysmans,baroque
Alfred Stevens,réalisme
Frans Post,baroque
Alexandre Menjaud,style troubadour
Sandro Botticelli,École florentine
Sandro Botticelli,Première Renaissance
José de Ribera,baroque
Sebastiano Ricci,peinture baroque
Auguste Anastasi,École de Barbizon
Henri Lebasque,postimpressionnisme
Alexandre Defaux,École de Pont-Aven
Jean Dupas,Art déco
Giambattista Tiepolo,baroque
Giambattista Tiepolo,rococo
Maurice Utrillo,École de Paris
Raoul Ubac,École de Paris
Q528511,art informel
Marguerite de Bayser-Gratry,Art déco
Auguste Rodin,art moderne
Auguste Rodin,symbolisme
Charles Agard,postimpressionnisme
Jean Restout,rococo
Titien,École vénitienne
Titien,Haute Renaissance
Jacques Sarrazin,baroque
Jean Arp,surréalisme
Jean Arp,Dada
Jean Arp,De Stijl
Max Klinger,symbolisme
François Lemoyne,rococo
Otto Freundlich,art abstrait
François Bonvin,réalisme
Armand Guillaumin,impressionnisme
Alphonse Monchablon,académisme
Léon Detroy,École de Crozant
Noël Dolla,Supports/Surfaces
Antoine Romagnesi,musique classique
Gustave Loiseau,postimpressionnisme
Gustave Loiseau,École de Pont-Aven
Cornelis Bega,baroque
François Stahly,art informel
François Stahly,École de Paris
Charles Lefebvre,éclectisme
Charles Lefebvre,Art déco
Charles Filiger,synthétisme
Charles Filiger,symbolisme
Charles Filiger,École de Pont-Aven
Henri Rivière,École de Pont-Aven
Jörg Immendorff,néo-expressionnisme
Jean-Joseph Weerts,académisme
Q469063,expressionnisme
Isaac Antcher,École de Paris
Gérald Collot,École de Paris
Gérald Collot,abstraction lyrique
Rosalba Carriera,rococo
Jules Bastien-Lepage,pomme de terre
Claude Lefebvre,musique classique
Louise Moillon,baroque
Jan Fyt,peinture baroque flamande
Ferdinand Bol,baroque
Alphonse Osbert,symbolisme
Rembrandt,âge d'or de la peinture néerlandaise
Michel Kikoine,expressionnisme
Michel Kikoine,École de Paris
Cavalier d'Arpin,maniérisme
Giuseppe Palizzi,École de Barbizon
Giuseppe Palizzi,néoromantisme
Paul Vayson,réalisme
Simon de Vos,baroque
Giovanni Boldini,Macchiaioli
Roderic O'Conor,École de Pont-Aven
Gustave Loiseau,postimpressionnisme
Gustave Loiseau,École de Pont-Aven
Virginie Demont-Breton,naturalisme
Virginie Demont-Breton,École de Wissant
Virginie Demont-Breton,réalisme
Alonso Cano,baroque
Laurent de La Hyre,classicisme
Baldassare Franceschini,peinture baroque
Mattia Preti,baroque
Léon Lehmann,fauvisme
Léon Lehmann,École de Paris
Mario Prassinos,École de Paris
Claudius Jacquand,académisme
François Duquesnoy,baroque
Antonio Canova,néo-classicisme
Auguste Rodin,art moderne
Auguste Rodin,symbolisme
Auguste Rodin,art moderne
Auguste Rodin,symbolisme
Auguste Rodin,art moderne
Auguste Rodin,symbolisme
Bernhard Hoetger,expressionnisme
Antoine Coysevox,baroque
Antoine Coysevox,style Louis XIV
Henry Ottmann,postimpressionnisme
Jean Fautrier,art informel
Hendrik Goltzius,maniérisme
Auguste Clésinger,romantisme
Le Guerchin,baroque
Alexandre-Gabriel Decamps,orientalisme
Alexandre-Gabriel Decamps,romantisme
Albert Dubois-Pillet,pointillisme
Achille Devéria,romantisme
Jules Dupré,École de Barbizon
Jean Dubuffet,art brut
Jean Dubuffet,art informel
Xavier Sigalon,romantisme
Constantin Meunier,réalisme
Honoré Boze,peinture orientaliste
Jean-Marc Nattier,rococo
Édouard Pingret,costumbrismo
Francisco de Goya,romantisme
Francisco de Goya,rococo
Jacques-Louis David,néo-classicisme
Nicolas de Largillierre,baroque
Charles Dufresne,orientalisme
Charles Dufresne,cubisme
Charles Dufresne,fauvisme
Jean-Amédée Gibert,académisme
Léon Belly,orientalisme
François Boucher,rococo
Jules Coignet,École de Barbizon
Karl Daubigny,École de Barbizon
Philippe de Champaigne,classicisme
Philippe de Champaigne,peinture baroque
Charles Jacque,École de Barbizon
Xavier Sigalon,romantisme
Abraham Bloemaert,École caravagesque d'Utrecht
Abraham Bloemaert,maniérisme
Frans Hals,baroque
Frans Hals,âge d'or de la peinture néerlandaise
Claude Lefebvre,musique classique
Hyacinthe Rigaud,baroque
Hyacinthe Rigaud,peinture baroque
Pierre Mignard,classicisme
Pierre Mignard,peinture baroque
Charles Lefebvre,éclectisme
Charles Lefebvre,Art déco
