artiste,influenceur
Gustave Guillaumet,François-Édouard Picot
Charles Viaud,Pierre Loti
Jules Breton,François Bonvin
Rembrandt Bugatti,Paul Troubetzkoy
Georges Lacombe,Paul Gauguin
Georges Lacombe,Paul Sérusier
Claude Gellée,Le Dominiquin
Claude Gellée,Annibale Carracci
Nicolas Poussin,Quentin Varin
Nicolas Poussin,Le Dominiquin
James Tissot,Hans Holbein le Jeune
James Tissot,Lucas Cranach l'Ancien
James Tissot,Giovanni Bellini
James Tissot,Albrecht Dürer
James Tissot,Vittore Carpaccio
Louis Gallait,José de Ribera
Louis Gallait,Bartolomé Esteban Murillo
Louis Gallait,Pierre Paul Rubens
Ary Scheffer,Théodore Géricault
Ary Scheffer,François Gérard
Jacques-François Delyen,Nicolas de Largillierre
Valentin de Boulogne,Bartolomeo Manfredi
Valentin de Boulogne,Le Caravage
Anders Zorn,Rembrandt
Oswald Achenbach,Andreas Achenbach
Lorenzo Costa,Cosmè Tura
Jean Despujols,Jean Dupas
Nicolas Lancret,Antoine Watteau
Guido Reni,Le Caravage
Guido Reni,Raphaël
Guido Reni,Michel-Ange Buronarroti
Hyacinthe Rigaud,Antoine van Dyck
Francis Jourdain,Eugène Viollet-le-Duc
Francis Jourdain,William Morris
Quentin Metsys,Liévin van Lathem
Camille Godet,Mathurin Méheut
Aristide Maillol,Pierre Puvis de Chavannes
Aristide Maillol,Paul Gauguin
Auguste Rodin,Jean-Baptiste Carpeaux
Auguste Rodin,Michel-Ange Buronarroti
Auguste Rodin,Jean-Baptiste Carpeaux
Auguste Rodin,Michel-Ange Buronarroti
Auguste Rodin,Jean-Baptiste Carpeaux
Auguste Rodin,Michel-Ange Buronarroti
Auguste Rodin,Jean-Baptiste Carpeaux
Auguste Rodin,Michel-Ange Buronarroti
Paul Paulin,Edgar Degas
Paul Paulin,Auguste Renoir
Raoul Larche,Loïe Fuller
Raoul Larche,Auguste Rodin
Auguste Rodin,Jean-Baptiste Carpeaux
Auguste Rodin,Michel-Ange Buronarroti
Jean-Antoine Injalbert,Jules Dalou
Jean-Antoine Injalbert,Pierre Puget
Jean-Antoine Injalbert,Jean-Baptiste Carpeaux
Camille Pissarro,Fritz Melbye
Vassily Kandinsky,Helena Blavatsky
Vassily Kandinsky,fauvisme
Vassily Kandinsky,Rose bleue
Vassily Kandinsky,Les Meules
Vassily Kandinsky,pointillisme
Vassily Kandinsky,Rudolf Steiner
Vassily Kandinsky,Walter Gropius
Vassily Kandinsky,Lohengrin
Vassily Kandinsky,Pablo Picasso
Vassily Kandinsky,Edvard Munch
Vassily Kandinsky,Vincent van Gogh
Vassily Kandinsky,Henri Matisse
Vassily Kandinsky,Richard Wagner
Vassily Kandinsky,musique
Vassily Kandinsky,Claude Monet
Käthe Kollwitz,Max Liebermann
Käthe Kollwitz,Max Klinger
Q44007,James Ensor
Q44007,Expressions de la folie
Q44007,Pablo Picasso
Guido Reni,Le Caravage
Guido Reni,Raphaël
Guido Reni,Michel-Ange Buronarroti
Marie Bracquemond,Alfred Stevens
Marie Bracquemond,Edgar Degas
Marie Bracquemond,Claude Monet
Jacopo Bassano,Titien
Jean-Léon Gérôme,Charles Gleyre
Nicolas de Largillierre,Peter Lely
Alexandre Roslin,Hyacinthe Rigaud
Alexandre Roslin,Nicolas de Largillierre
Guido Reni,Le Caravage
Guido Reni,Raphaël
Guido Reni,Michel-Ange Buronarroti
Paul Troger,Carracci
Patrick Moya,Marshall McLuhan
Auguste Rodin,Jean-Baptiste Carpeaux
Auguste Rodin,Michel-Ange Buronarroti
Kurt Schwitters,De Stijl
Emmanuel de La Villéon,Vincent van Gogh
Emmanuel de La Villéon,Paul Cézanne
Emmanuel de La Villéon,Claude Monet
Lucas Cranach l'Ancien,Jan Mabuse
Lucas Cranach l'Ancien,Quentin Metsys
Jean-Antoine Injalbert,Jules Dalou
Jean-Antoine Injalbert,Pierre Puget
Jean-Antoine Injalbert,Jean-Baptiste Carpeaux
James Tissot,Hans Holbein le Jeune
James Tissot,Lucas Cranach l'Ancien
James Tissot,Giovanni Bellini
James Tissot,Albrecht Dürer
James Tissot,Vittore Carpaccio
Alexandre Rapin,Gustave Courbet
Andrea Mantegna,Donatello
Aristide Maillol,Pierre Puvis de Chavannes
Aristide Maillol,Paul Gauguin
Juan Gris,Pablo Picasso
Juan Gris,Henri Matisse
Henri de Toulouse-Lautrec,Edgar Degas
Giovanni Boldini,Titien
Giovanni Boldini,Domenico Tintoretto
Joseph Nash,Joseph Strutt
Anders Osterlind,Paul Cézanne
Georges Braque,Sculpture africaine
Georges Braque,Paul Cézanne
Georges Braque,Pablo Picasso
Gino Severini,Georges Seurat
Berthe Morisot,Édouard Manet
Berthe Morisot,Stéphane Mallarmé
Léon Riesener,Pierre Paul Rubens
Amedeo Modigliani,Constantin Brâncuși
Amedeo Modigliani,Henri de Toulouse-Lautrec
Amedeo Modigliani,Paul Cézanne
Amedeo Modigliani,Pablo Picasso
Arman,Kurt Schwitters
Henri Martin,Georges Seurat
Raphaël Collin,Jules Bastien-Lepage
Raphaël Collin,Pierre Puvis de Chavannes
Raphaël Collin,Pascal Dagnan-Bouveret
Raphaël Collin,Camille Corot
Jean Fouquet,Maître de Boucicaut
Victor Vignon,Adolphe-Félix Cals
Victor Vignon,Camille Pissarro
Johannes Vermeer,Leonard Bramer
Johannes Vermeer,Dirck van Baburen
Johannes Vermeer,Gabriel Metsu
Johannes Vermeer,Carel Fabritius
Hyacinthe Rigaud,Antoine van Dyck
Thomas Couture,Titien
Thomas Couture,Pierre Paul Rubens
Alexandre Roslin,Hyacinthe Rigaud
Alexandre Roslin,Nicolas de Largillierre
Achille Laugé,Paul Signac
Achille Laugé,Camille Pissarro
Achille Laugé,Georges Seurat
Nicolas Poussin,Quentin Varin
Nicolas Poussin,Le Dominiquin
Ary Scheffer,Théodore Géricault
Ary Scheffer,François Gérard
Constantin Korovine,Karl Brioullov
Lovis Corinth,Rembrandt
Lovis Corinth,Pierre Paul Rubens
Guido Reni,Le Caravage
Guido Reni,Raphaël
Guido Reni,Michel-Ange Buronarroti
Jean Dufy,Claude Monet
Domenico Fetti,Le Caravage
Oskar Kokoschka,Georges Minne
Claude Gellée,Le Dominiquin
Claude Gellée,Annibale Carracci
Juan Gris,Pablo Picasso
Juan Gris,Henri Matisse
Girolamo da Treviso,Giorgione
Abel Bertram,Antoine Guillemet
Jean Arnavielle,Albert Marquet
Boris Taslitzky,Gustave Courbet
Paul Cézanne,Gustave Courbet
Paul Cézanne,Eugène Delacroix
Claude Vignon,Le Caravage
Claude Vignon,Rembrandt
Auguste Rodin,Jean-Baptiste Carpeaux
Auguste Rodin,Michel-Ange Buronarroti
Auguste Rodin,Jean-Baptiste Carpeaux
Auguste Rodin,Michel-Ange Buronarroti
Auguste Rodin,Jean-Baptiste Carpeaux
Auguste Rodin,Michel-Ange Buronarroti
Robert Wlérick,Charles Despiau
Auguste Rodin,Jean-Baptiste Carpeaux
Auguste Rodin,Michel-Ange Buronarroti
Claude Vignon,Le Caravage
Claude Vignon,Rembrandt
Auguste Rodin,Jean-Baptiste Carpeaux
Auguste Rodin,Michel-Ange Buronarroti
Auguste Rodin,Jean-Baptiste Carpeaux
Auguste Rodin,Michel-Ange Buronarroti
Rembrandt Bugatti,Paul Troubetzkoy
Jean-Léon Gérôme,Charles Gleyre
Paul Gauguin,Camille Pissarro
Paul Gauguin,Edgar Degas
Paul Gauguin,Paul Cézanne
Paul Gauguin,Hokusai
Paul Gauguin,Eugène Delacroix
Paul Gauguin,Claude Monet
Francis Pellerin,Paul Gauguin
Guido Reni,Le Caravage
Guido Reni,Raphaël
Guido Reni,Michel-Ange Buronarroti
Guido Reni,Le Caravage
Guido Reni,Raphaël
Guido Reni,Michel-Ange Buronarroti
Gustave Moreau,Théodore Chassériau
Gustave Moreau,Eugène Delacroix
Gustave Moreau,Théodore Chassériau
Gustave Moreau,Eugène Delacroix
Willem van Mieris,Gérard Dou
Léon Riesener,Pierre Paul Rubens
Marcel Rieder,Viggo Johansen
Jean-Auguste-Dominique Ingres,Raphaël
Carlo Cignani,Francesco Albani
Carlos Cruz-Diez,Josef Albers
Carlos Cruz-Diez,Georges Seurat
Jean Legros,Ad Reinhardt
Jean Legros,Barnett Newman
Hyacinthe Rigaud,Antoine van Dyck
Georges Lacombe,Paul Gauguin
Georges Lacombe,Paul Sérusier
Albert Lebourg,Jean Seignemartin
Maxime Maufra,Alfred Sisley
Maxime Maufra,Camille Pissarro
Vassily Kandinsky,Helena Blavatsky
Vassily Kandinsky,fauvisme
Vassily Kandinsky,Rose bleue
Vassily Kandinsky,Les Meules
Vassily Kandinsky,pointillisme
Vassily Kandinsky,Rudolf Steiner
Vassily Kandinsky,Walter Gropius
Vassily Kandinsky,Lohengrin
Vassily Kandinsky,Pablo Picasso
Vassily Kandinsky,Edvard Munch
Vassily Kandinsky,Vincent van Gogh
Vassily Kandinsky,Henri Matisse
Vassily Kandinsky,Richard Wagner
Vassily Kandinsky,musique
Vassily Kandinsky,Claude Monet
Nicolas Vleughels,Paul Véronèse
Alessandro Varotari,Titien
Alessandro Varotari,Paul Véronèse
Hyacinthe Rigaud,Antoine van Dyck
Daniele da Volterra,Le Sodoma
Daniele da Volterra,Michel-Ange Buronarroti
Anders Osterlind,Paul Cézanne
Claude Vignon,Le Caravage
Claude Vignon,Rembrandt
Helmut Kolle,Pablo Picasso
Antoine Watteau,Claude Gillot
Antoine Watteau,Pierre Paul Rubens
